YEAR,SKU,QTY,VENDOR,CODE,SEASON,BQT PRICE,PACK,FRT,FRT P/U,BQT + FRT
2018,B104,22043,ELB,B104ELB,EDAY,5.71,28,19.47,0.695357143,6.405357143
2018,B104,2589,GOL,B104GOL,EDAY,6.67,20,4.24,0.212,6.882
2018,B105,9626,ELB,B105ELB,EDAY,7.19,18,19.47,1.081666667,8.271666667
2018,B105,2591,GOL,B105GOL,EDAY,8.28,16,4.24,0.265,8.545
2018,B106,7124,ELB,B106ELB,EDAY,6.13,20,19.47,0.9735,7.1035
2018,B106,1946,GOL,B106GOL,EDAY,7.17402,20,4.24,0.212,7.38602
2018,B107,350,ELB,B107ELB,EDAY,7.94,18,19.47,1.081666667,9.021666667
2018,B107,3088,GOL,B107GOL,EDAY,9.06192,16,4.24,0.265,9.32692
2018,B110,16101,ELB,B110ELB,EDAY,7.1,24,19.47,0.81125,7.91125
2018,B110,30,GOL,B110GOL,EDAY,6.8436375,24,4.24,0.176666667,7.020304167
2018,B111,6473,ELB,B111ELB,EDAY,8.325507304,18,19.47,1.081666667,9.40717397
2018,B237,11410,ELB,B237ELB,EDAY,6.51,24,19.47,0.81125,7.32125
2018,B237,3681,GOL,B237GOL,EDAY,7.92918,24,4.24,0.176666667,8.105846667
2018,B238,11959,ELB,B238ELB,EDAY,6.52,20,19.47,0.9735,7.4935
2018,B239,72554,ELB,B239ELB,EDAY,4.98,20,19.47,0.9735,5.9535
2018,B239,45758,GOL,B239GOL,EDAY,5.85249,20,4.24,0.212,6.06449
2018,B239,50637,PAB,B239PAB,EDAY,5.25,20,19.31,0.9655,6.2155
2018,B241,2169,ELB,B241ELB,EDAY,8.962163745,18,19.47,1.081666667,10.04383041
2018,B241,1957,GOL,B241GOL,EDAY,10.477845,16,4.24,0.265,10.742845
2018,B267,23603,ELB,B267ELB,EDAY,6.47,20,19.47,0.9735,7.4435
2018,B267,941,GOL,B267GOL,EDAY,10.1474625,24,4.24,0.176666667,10.32412917
2018,B293,3448,ELB,B293ELB,EDAY,7.346035856,25,19.47,0.7788,8.124835856
2018,B293,760,GOL,B293GOL,EDAY,9.06192,25,4.24,0.1696,9.23152
2018,B303,52433,ELB,B303ELB,EDAY,4.06,20,19.47,0.9735,5.0335
2018,B303,23969,GOL,B303GOL,EDAY,5.8996875,40,4.24,0.106,6.0056875
2018,B322,8797,ELB,B322ELB,EDAY,5.240172244,30,19.47,0.649,5.889172244
2018,B322,5954,PAB,B322PAB,EDAY,4.5,36,19.31,0.536388889,5.036388889
2018,B324,14432,GOL,B324GOL,EDAY,12.1297575,30,4.24,0.141333333,12.27109083
2018,B336,152019,ELB,B336ELB,EDAY,3.839528074,30,19.47,0.649,4.488528074
2018,B336,11409,GOL,B336GOL,EDAY,4.625355,30,4.24,0.141333333,4.766688333
2018,B336,8742,PAB,B336PAB,EDAY,4.36,26,19.31,0.742692308,5.102692308
2018,B337,4139,ELB,B337ELB,EDAY,7.512546002,20,19.47,0.9735,8.486046002
2018,B337,251,GOL,B337GOL,EDAY,5.946885,30,4.24,0.141333333,6.088218333
2018,B337,15810,PAB,B337PAB,EDAY,6.22,16,19.31,1.206875,7.426875
2018,B348,4443,ELB,B348ELB,EDAY,8.570375166,26,19.47,0.748846154,9.319221319
2018,B350,9776,ELB,B350ELB,EDAY,7.052194422,28,19.47,0.695357143,7.747551565
2018,B351,3891,ELB,B351ELB,EDAY,11.01905378,20,19.47,0.9735,11.99255378
2018,B355,4458,GOL,B355GOL,EDAY,9.4866975,20,4.24,0.212,9.6986975
2018,B364,20965,ELB,B364ELB,EDAY,4.44,20,19.47,0.9735,5.4135
2018,B364,1340,GOL,B364GOL,EDAY,6.2772675,24,4.24,0.176666667,6.453934167
2018,B376,7056,GOL,B376GOL,EDAY,5.4277125,20,4.24,0.212,5.6397125
2018,B429,8255,GOL,B429GOL,EDAY,16.5354,16,4.24,0.265,16.8004
2018,B444,99,ELB,B444ELB,EDAY,10.81756,16,19.47,1.216875,12.034435
2018,B486,1548,ELB,B486ELB,EDAY,12.13745,20,19.47,0.9735,13.11095
2018,B489,812,ELB,B489ELB,EDAY,8.307,16,19.47,1.216875,9.523875
2018,B498,1011,ELB,B498ELB,EDAY,6.29486,20,19.47,0.9735,7.26836
2018,B512,527,ELB,B512ELB,EDAY,11.26983,12,19.47,1.6225,12.89233
2018,B512,952,GOL,B512GOL,EDAY,12.9735,12,4.24,0.353333333,13.32683333
2018,B512,2422,PAB,B512PAB,EDAY,9.75,16,19.31,1.206875,10.956875
2018,B514,2956,ELB,B514ELB,EDAY,9.1,12,19.47,1.6225,10.7225
2018,B522,3104,GOL,B522GOL,EDAY,5.58,30,4.24,0.141333333,5.721333333
2018,B525,385,GOL,B525GOL,EDAY,5.5707,28,4.24,0.151428571,5.722128571
2018,B528,2164,ELB,B528ELB,EDAY,6.77,16,19.47,1.216875,7.986875
2018,B532,2692,ELB,B532ELB,EDAY,5.57492,30,19.47,0.649,6.22392
2018,B533,14174,ELB,B533ELB,EDAY,5.54,14,19.47,1.390714286,6.930714286
2018,B540,11202,GOL,B540GOL,EDAY,7.75,24,4.24,0.176666667,7.926666667
2018,B543,929,ELB,B543ELB,EDAY,7.95,20,19.47,0.9735,8.9235
2018,B544,81,ELB,B544ELB,EDAY,8.91,16,19.47,1.216875,10.126875
2018,B544,2562,GOL,B544GOL,EDAY,10.68,16,4.24,0.265,10.945
2018,B545,91,ELB,B545ELB,EDAY,10.93,12,19.47,1.6225,12.5525
2018,B545,2150,GOL,B545GOL,EDAY,12.89,14,4.24,0.302857143,13.19285714
2018,B547,5756,ELB,B547ELB,EDAY,8.69,24,19.47,0.81125,9.50125
2018,B547,3074,GOL,B547GOL,EDAY,10.35,24,4.24,0.176666667,10.52666667
2018,B548,10880,ELB,B548ELB,EDAY,6.03,24,19.47,0.81125,6.84125
2018,B548,10739,GOL,B548GOL,EDAY,7.06,30,4.24,0.141333333,7.201333333
2018,B551,13833,GOL,B551GOL,EDAY,7.85,24,4.24,0.176666667,8.026666667
2018,B554,123,GOL,B554GOL,EDAY,10.42,18,4.24,0.235555556,10.65555556
2018,B555,504,ELB,B555ELB,EDAY,11.39,14,19.47,1.390714286,12.78071429
2018,B556,10575,GOL,B556GOL,EDAY,7.75,24,4.24,0.176666667,7.926666667
2018,B570,431,ELB,B570ELB,EDAY,16.43,8,19.47,2.43375,18.86375
2018,B571,374,ELB,B571ELB,EDAY,8.87,16,19.47,1.216875,10.086875
2018,B572,431,ELB,B572ELB,EDAY,7.81,20,19.47,0.9735,8.7835
2018,B573,735,ELB,B573ELB,EDAY,,,19.47,#DIV/0!,#DIV/0!
2018,B804,1247,GOL,B804GOL,EDAY,8.28,25,4.24,0.1696,8.4496
2018,B806,605,ELB,B806ELB,EDAY,8.97,20,19.47,0.9735,9.9435
2018,B807,252,ELB,B807ELB,EDAY,11.34,14,19.47,1.390714286,12.73071429
2018,B823,1897,GOL,B823GOL,EDAY,6.99,28,4.24,0.151428571,7.141428571
2018,B825,156,GOL,B825GOL,EDAY,10.46,18,4.24,0.235555556,10.69555556
2018,G115,17978,ELB,G115ELB,EDAY,7.35,20,19.47,0.9735,8.3235
2018,R023,4634,PAB,R023PAB,EDAY,9,20,19.31,0.9655,9.9655
2018,R026,2945,ELB,R026ELB,EDAY,7.25,25,19.47,0.7788,8.0288
2018,R026,19302,FLR,R026FLR,EDAY,4.86,26,72.99,2.807307692,7.667307692
2018,R100,46976,ELB,R100ELB,EDAY,3.99,28,19.47,0.695357143,4.685357143
2018,R100,255,FLR,R100FLR,EDAY,2.6,32,72.99,2.2809375,4.8809375
2018,R100,255,GOL,R100GOL,EDAY,4.7669475,24,4.24,0.176666667,4.943614167
2018,R100,2186,VIS,R100VIS,EDAY,4.9,20,16.53,0.8265,5.7265
2018,R1000,4637,ELB,R1000ELB,EDAY,5.55,28,19.47,0.695357143,6.245357143
2018,R1000,4337,GOL,R1000GOL,EDAY,5.6165025,24,4.24,0.176666667,5.793169167
2018,R1000,4575,PAB,R1000PAB,EDAY,5.5,25,19.31,0.7724,6.2724
2018,R1005,5954,ELB,R1005ELB,EDAY,11.43,16,19.47,1.216875,12.646875
2018,R101,14038,ELB,R101ELB,EDAY,6.23,20,19.47,0.9735,7.2035
2018,R101,13347,PAB,R101PAB,EDAY,5.94,25,19.31,0.7724,6.7124
