sku,Qty,Product,Name
B104,4,ALSTRPK,ALSTROEMERIA PINK
B104,8,ROS40PK,ROSE 40CM PINK
B104,4,ASTPP,ASTER PURPLE
B104,3,RUSCUS,RUSCUS
B105,5,ALSTRPK,ALSTROEMERIA PINK
B105,12,ROS40PK,ROSE 40CM PINK
B105,5,ASTPP,ASTER PURPLE
B105,3,RUSCUS,RUSCUS
B110,3,ROS40RD,ROSE 40CM RED
B110,3,ROS40WHT,ROSE 40CM WHITE
B110,3,CARNRD,CARNATION RED
B110,3,MINCARNRD,MINI CARNS RED
B110,5,RUSCUS,RUSCUS
B110,3,GYP,GYP
B110,5,PPCUSHWHT,POMPOM CUSHION WHITE
B111,4,ROS40RD,ROSE 40CM RED
B111,4,ROS40WHT,ROSE 40CM WHITE
B111,6,CARNRD,CARNATION RED
B111,4,MINCARNRD,MINI CARNS RED
B111,3,RUSCUS,RUSCUS
B111,3,GYP,GYP
B111,6,PPCUSHWHT,POMPOM CUSHION WHITE
B218,15,DENDRORCPP,DENDROBIUM PURPLE
B220,15,DENDRORCWHT,DENDROBIUM WHITE
B237,5,ROS40BCORGYW,ROSE 40CM BICOLOR ORANGE/YELLOW
B237,4,CARNORG,CARNATION ORANGE
B237,5,PPANYBRZ,POMPOM BRONZE
B237,4,SOLID,SOLIDAGO
B237,4,RUSCUS,RUSCUS
B238,25,ALSTASSTAUT,ALTROEMERIA ASST AUTUMN
B239,25,ALSTASST,ALSTROEMERIA ASST
B241,8,ROS40BCORGYW,ROSE 40CM BICOLOR ORANGE/YELLOW
B241,7,CARNORG,CARNATION ORANGE
B241,7,PPANYBRZ,POMPOM BRONZE
B241,4,SOLID,SOLIDAGO
B241,4,RUSCUS,RUSCUS
B267,5,ROS40HTPK,ROSE 40CM HOT PINK
B267,7,ROS40LTPK,ROSE 40CM LIGHT PINK
B267,3,SPMUMGR,SPIDER MUM GREEN
B267,4,ALSTRPK,ALSTROEMERIA PINK
B267,3,RUSCUS,RUSCUS
B293,5,ROS40RD,ROSE 40CM RED
B293,4,SPMUMWHT,SPIDER MUM WHITE
B293,4,PPCUSHWHT,POMPOM CUSHION WHITE
B293,3,RUSCUS,RUSCUS
B294,12,ROS40RD,ROSE 40CM RED
B294,9,SPMUMWHT,SPIDER MUM WHITE
B294,5,RUSCUS,RUSCUS
B303,2,ROS40HTPK,ROSE 40CM HOT PINK
B303,3,ROS40LTPK,ROSE 40CM LIGHT PINK
B303,3,SPMUMGR,SPIDER MUM GREEN
B303,3,ALSTRPK,ALSTROEMERIA PINK
B303,3,RUSCUS,RUSCUS
B316,4,PPDAYPP,POMPOM DAISY PURPLE
B316,7,ASTPP,ASTER PURPLE
B316,5,MINCARHPK,MINI CARNS HOT PINK
B316,3,ALSTRPK,ALSTROEMERIA PINK
B322,7,ALSTRRD,ALSTROEMERIA RED
B322,8,ALSTRWT,ALSTROEMERIA WHITE
B324,3,ROS40RD,ROSE 40CM RED
B324,3,STSPWT,STOCK SPRAY WHITE
B324,3,ROS40RD,ROSE 40CM RED
B324,3,RUSCUS,RUSCUS
B324,3,MS1517,PICK SNOW FLOCKED PINECONE
B336,6,ROS40ASST,ROSE 40CM ASST
B336,10,ALSTASST,ALSTROEMERIA ASST
B337,12,ROS40ASST,ROSE 40CM ASST
B337,10,ALSTASST,ALSTROEMERIA ASST
B338,6,PPDAYPP,POMPOM DAISY PURPLE
B338,9,ASTPP,ASTER PURPLE
B338,6,MINCARHPK,MINI CARNS HOT PINK
B338,8,ALSTRPK,ALSTROEMERIA PINK
B348,5,PPCUSHRD,POMPOM CUSHION RED
B348,3,PPBTTBRZ,POMPOM BUTTON BRONZE
B348,3,HYPERRD,HYPERICUM RED
B348,9,ROS40BCORGYW,ROSE 40CM BICOLOR ORANGE/YELLOW
